Year,Value,SD,Variable
2007,1,NA,NestingPEFAPairs
2008,1,NA,NestingPEFAPairs
2009,1,NA,NestingPEFAPairs
2010,1,NA,NestingPEFAPairs
2011,1,NA,NestingPEFAPairs
2012,1,NA,NestingPEFAPairs
2013,1,NA,NestingPEFAPairs
2014,2,NA,NestingPEFAPairs
2015,2,NA,NestingPEFAPairs
2016,2,NA,NestingPEFAPairs
2017,2,NA,NestingPEFAPairs
2018,2,NA,NestingPEFAPairs
2019,3,NA,NestingPEFAPairs
2020,4,NA,NestingPEFAPairs
2021,4,NA,NestingPEFAPairs
2007,3,0,PEFAChicksPerNest
2008,3,0,PEFAChicksPerNest
2009,3,0,PEFAChicksPerNest
2010,1,0,PEFAChicksPerNest
2011,0,0,PEFAChicksPerNest
2012,4,0,PEFAChicksPerNest
2013,3,0,PEFAChicksPerNest
2014,1.5,0.7,PEFAChicksPerNest
2015,3,1.4,PEFAChicksPerNest
2016,3,0,PEFAChicksPerNest
2017,3.5,0.7,PEFAChicksPerNest
2018,2,1.4,PEFAChicksPerNest
2019,3,0,PEFAChicksPerNest
2020,2.7,1.2,PEFAChicksPerNest
2021,2.3,1,PEFAChicksPerNest
2007,3.7,1.3,PRFAChicksPerNest
2008,3,1.2,PRFAChicksPerNest
2009,3.7,1.4,PRFAChicksPerNest
2010,3.9,0.7,PRFAChicksPerNest
2011,4.1,0.6,PRFAChicksPerNest
2012,3.4,1.2,PRFAChicksPerNest
2013,4.3,0.8,PRFAChicksPerNest
2014,3.9,1.2,PRFAChicksPerNest
2015,4.2,0.8,PRFAChicksPerNest
2016,3.8,0.8,PRFAChicksPerNest
2017,3.8,0.5,PRFAChicksPerNest
2018,3.7,1,PRFAChicksPerNest
2019,3,1.2,PRFAChicksPerNest
2020,3.5,0.6,PRFAChicksPerNest
2021,3.9,1,PRFAChicksPerNest
