," Long Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2006-12-01",0.8445
"2006-12-06",0.7982
"2006-12-11",0.8988
"2006-12-16",0.8798
"2006-12-21",0.8174
"2006-12-26",0.8087
"2006-12-31",0.7212
"2007-01-05",0.5309
"2007-01-10",0.3902
"2007-01-15",0.3692
"2007-01-20",0.3356
"2007-01-25",0.2915
"2007-01-30",0.2723
"2007-02-04",0.2281
"2007-02-09",0.1893
"2007-02-14",0.1319
"2007-02-19",0.0076
"2007-02-24",-0.0149
"2007-03-01",-0.0511
"2007-03-06",-0.2324
"2007-03-11",-0.3695
"2007-03-16",-0.515
"2007-03-21",-0.5639
"2007-03-26",-0.6389
"2007-03-31",-0.7103
"2007-04-05",-0.873
"2007-04-10",-0.9652
"2007-04-15",-0.9843
"2007-04-20",-0.9317
"2007-04-25",-0.9121
"2007-04-30",-0.9443
"2007-05-05",-0.9275
"2007-05-10",-0.9686
"2007-05-15",-0.9789
"2007-05-20",-0.9452
"2007-05-25",-1.0641
"2007-05-30",-1.0687
"2007-06-04",-1.0193
"2007-06-09",-1.1111
"2007-06-14",-1.1009
"2007-06-19",-1.0932
"2007-06-24",-1.0824
"2007-06-29",-1.0671
"2007-07-04",-1.0544
"2007-07-09",-1.0437
"2007-07-14",-1.0229
"2007-07-19",-1.0013
"2007-07-24",-0.9929
"2007-07-29",-0.993
"2007-08-03",-0.9776
"2007-08-08",-0.9627
"2007-08-13",-0.9954
"2007-08-18",-0.9537
"2007-08-23",-0.9812
"2007-08-28",-0.9741
"2007-09-02",-0.9424
"2007-09-07",-0.9074
"2007-09-12",-0.871
"2007-09-17",-0.8666
"2007-09-22",-0.708
"2007-09-27",-0.6877
"2007-10-02",-0.6584
"2007-10-07",-0.6786
"2007-10-12",-0.5409
"2007-10-17",-0.4953
"2007-10-22",-0.5203
"2007-10-27",-0.5338
"2007-11-01",-0.5237
"2007-11-06",-0.5199
"2007-11-11",-0.5561
"2007-11-16",-0.5849
"2007-11-21",-0.5984
"2007-11-26",-0.646
"2007-12-01",-0.6947
"2007-12-06",-0.6866
"2007-12-11",-0.7191
"2007-12-16",-0.8114
