," Long Term Drought Blend (gridMET Drought) at -121.1804E,36.4915N, 2003-01-01 to 2021-12-31"
"2003-01-05",0.4669
"2003-01-10",0.5392
"2003-01-15",0.5231
"2003-01-20",0.4659
"2003-01-25",0.4202
"2003-01-30",0.3606
"2003-02-04",0.2806
"2003-02-09",0.2329
"2003-02-14",0.2537
"2003-02-19",0.1924
"2003-02-24",0.1239
"2003-03-01",0.1312
"2003-03-06",0.0033
"2003-03-11",-0.0271
"2003-03-16",0.0479
"2003-03-21",-0.083
"2003-03-26",-0.1669
"2003-03-31",-0.1996
"2003-04-05",-0.1666
"2003-04-10",-0.1785
"2003-04-15",-0.1917
"2003-04-20",-0.2333
"2003-04-25",-0.2057
"2003-04-30",-0.1671
"2003-05-05",-0.0619
"2003-05-10",-0.0878
"2003-05-15",-0.0644
"2003-05-20",-0.064
"2003-05-25",-0.0125
"2003-05-30",0.0608
"2003-06-04",0.0828
"2003-06-09",0.0938
"2003-06-14",0.0215
"2003-06-19",-0.0808
"2003-06-24",-0.0608
"2003-06-29",-0.1127
"2003-07-04",-0.0944
"2003-07-09",-0.1176
"2003-07-14",-0.104
"2003-07-19",-0.104
"2003-07-24",-0.0828
"2003-07-29",-0.0748
"2003-08-03",-0.0579
"2003-08-08",-0.0081
"2003-08-13",-0.0307
"2003-08-18",-0.0247
"2003-08-23",0.0427
"2003-08-28",0.0654
"2003-09-02",0.0758
"2003-09-07",0.0941
"2003-09-12",0.0665
"2003-09-17",0.1088
"2003-09-22",0.1516
"2003-09-27",0.1522
"2003-10-02",0.1583
"2003-10-07",0.162
"2003-10-12",0.0847
"2003-10-17",0.0906
"2003-10-22",0.0661
"2003-10-27",0.0297
"2003-11-01",-0.2157
"2003-11-06",-0.2657
"2003-11-11",-0.2902
"2003-11-16",-0.3138
"2003-11-21",-0.3685
"2003-11-26",-0.4131
"2003-12-01",-0.4449
"2003-12-06",-0.4301
"2003-12-11",-0.425
"2003-12-16",-0.5282
"2003-12-21",-0.5833
"2003-12-26",-0.4701
"2003-12-31",-0.4141
"2004-01-05",-0.399
"2004-01-10",-0.3977
"2004-01-15",-0.3854
"2004-01-20",-0.4125
"2004-01-25",-0.4433
"2004-01-30",-0.4644
"2004-02-04",-0.4338
"2004-02-09",-0.4728
"2004-02-14",-0.5389
"2004-02-19",-0.4021
"2004-02-24",-0.3471
"2004-02-29",-0.0763
"2004-03-05",-0.0744
"2004-03-10",-0.0651
"2004-03-15",-0.1043
"2004-03-20",-0.0984
"2004-03-25",-0.1141
"2004-03-30",-0.1223
"2004-04-04",-0.1574
"2004-04-09",-0.1578
"2004-04-14",-0.1762
"2004-04-19",-0.2161
"2004-04-24",-0.2514
"2004-04-29",-0.272
"2004-05-04",-0.3266
"2004-05-09",-0.3638
"2004-05-14",-0.3827
"2004-05-19",-0.4184
"2004-05-24",-0.437
"2004-05-29",-0.4489
"2004-06-03",-0.4573
"2004-06-08",-0.4482
"2004-06-13",-0.4573
"2004-06-18",-0.4585
"2004-06-23",-0.496
"2004-06-28",-0.5164
"2004-07-03",-0.5316
"2004-07-08",-0.5169
"2004-07-13",-0.5079
"2004-07-18",-0.5043
"2004-07-23",-0.4977
"2004-07-28",-0.489
"2004-08-02",-0.5028
"2004-08-07",-0.4876
"2004-08-12",-0.4492
"2004-08-17",-0.4733
"2004-08-22",-0.4937
"2004-08-27",-0.6733
"2004-09-01",-0.7237
"2004-09-06",-0.689
"2004-09-11",-0.6647
"2004-09-16",-0.6542
"2004-09-21",-0.707
"2004-09-26",-0.7071
"2004-10-01",-0.6705
"2004-10-06",-0.663
"2004-10-11",-0.6453
"2004-10-16",-0.598
"2004-10-21",-0.0064
"2004-10-26",0.1979
"2004-10-31",0.3922
"2004-11-05",0.6585
"2004-11-10",0.6127
"2004-11-15",0.6571
"2004-11-20",0.61
"2004-11-25",0.54
"2004-11-30",0.4933
"2004-12-05",0.4482
"2004-12-10",0.5045
"2004-12-15",0.4149
"2004-12-20",0.3329
"2004-12-25",0.2217
"2004-12-30",0.5508
"2005-01-05",0.6783
"2005-01-10",0.9562
"2005-01-15",1.0236
"2005-01-20",1.0361
"2005-01-25",1.0476
"2005-01-30",1.0927
"2005-02-04",1.0663
"2005-02-09",1.0795
"2005-02-14",1.0577
"2005-02-19",1.1886
"2005-02-24",1.1645
"2005-03-01",1.1537
"2005-03-06",1.1946
"2005-03-11",1.197
"2005-03-16",1.2149
"2005-03-21",1.2287
"2005-03-26",1.2592
"2005-03-31",1.2731
"2005-04-05",1.2833
"2005-04-10",1.3057
"2005-04-15",1.3108
"2005-04-20",1.2994
"2005-04-25",1.3105
"2005-04-30",1.3598
"2005-05-05",1.3831
"2005-05-10",1.4314
"2005-05-15",1.4416
"2005-05-20",1.4741
"2005-05-25",1.4984
"2005-05-30",1.5079
"2005-06-04",1.517
"2005-06-09",1.5224
"2005-06-14",1.5355
"2005-06-19",1.5345
"2005-06-24",1.5334
"2005-06-29",1.4922
"2005-07-04",1.4767
"2005-07-09",1.3727
"2005-07-14",1.3705
"2005-07-19",1.3817
"2005-07-24",1.3844
"2005-07-29",1.3363
"2005-08-03",1.3251
"2005-08-08",1.328
"2005-08-13",1.3289
"2005-08-18",1.2828
"2005-08-23",1.2718
"2005-08-28",1.2549
"2005-09-02",1.2224
"2005-09-07",1.2375
"2005-09-12",1.2282
"2005-09-17",1.255
"2005-09-22",1.2026
"2005-09-27",1.1608
"2005-10-02",1.1637
"2005-10-07",1.0888
"2005-10-12",1.1126
"2005-10-17",1.0881
"2005-10-22",1.0443
"2005-10-27",0.8533
"2005-11-01",0.7542
"2005-11-06",0.6234
"2005-11-11",0.5944
"2005-11-16",0.55
"2005-11-21",0.4913
"2005-11-26",0.5517
"2005-12-01",0.6367
"2005-12-06",0.6994
"2005-12-11",0.587
"2005-12-16",0.525
"2005-12-21",0.6673
"2005-12-26",0.7389
"2005-12-31",0.7767
"2006-01-05",0.9842
"2006-01-10",0.9447
"2006-01-15",0.9303
"2006-01-20",0.9477
"2006-01-25",0.941
"2006-01-30",0.9221
"2006-02-04",0.8379
"2006-02-09",0.8095
"2006-02-14",0.7514
"2006-02-19",0.6015
"2006-02-24",0.5337
"2006-03-01",0.5952
"2006-03-06",0.6368
"2006-03-11",0.6795
"2006-03-16",0.6931
"2006-03-21",0.8123
"2006-03-26",0.7858
"2006-03-31",0.8706
"2006-04-05",1.0341
"2006-04-10",1.0909
"2006-04-15",1.1428
"2006-04-20",1.188
"2006-04-25",1.2352
"2006-04-30",1.2682
"2006-05-05",1.2775
"2006-05-10",1.2851
"2006-05-15",1.3026
"2006-05-20",1.326
"2006-05-25",1.4077
"2006-05-30",1.4515
"2006-06-04",1.4796
"2006-06-09",1.5137
"2006-06-14",1.5277
"2006-06-19",1.527
"2006-06-24",1.5142
"2006-06-29",1.5016
"2006-07-04",1.4068
"2006-07-09",1.4067
"2006-07-14",1.401
"2006-07-19",1.4099
"2006-07-24",1.4294
"2006-07-29",1.4268
"2006-08-03",1.4401
"2006-08-08",1.4431
"2006-08-13",1.4764
"2006-08-18",1.4801
"2006-08-23",1.4656
"2006-08-28",1.4524
"2006-09-02",1.4276
"2006-09-07",1.4316
"2006-09-12",1.4109
"2006-09-17",1.3945
