,"(deg F) Mean Temperature (gridMET) at Lands, 2006-12-01 to 2021-09-30"
"2006-12-01",48.3984
"2006-12-02",49.6375
"2006-12-03",52.2057
"2006-12-04",53.4247
"2006-12-05",55.6718
"2006-12-06",56.9793
"2006-12-07",60.0255
"2006-12-08",53.7463
"2006-12-09",47.9989
"2006-12-10",42.7222
"2006-12-11",46.1962
"2006-12-12",48.0988
"2006-12-13",52.7007
"2006-12-14",53.3642
"2006-12-15",46.7856
"2006-12-16",38.5183
"2006-12-17",36.9063
"2006-12-18",35.7805
"2006-12-19",37.4119
"2006-12-20",40.1614
"2006-12-21",43.1089
"2006-12-22",41.7801
"2006-12-23",44.4889
"2006-12-24",50.8872
"2006-12-25",53.2506
"2006-12-26",51.6218
"2006-12-27",42.9352
"2006-12-28",38.5862
"2006-12-29",41.6671
"2006-12-30",46.2241
"2006-12-31",46.4979
"2007-01-01",43.8586
"2007-01-02",48.1122
"2007-01-03",50.9862
"2007-01-04",42.0483
"2007-01-05",37.6099
"2007-01-06",42.3712
"2007-01-07",46.8847
"2007-01-08",52.6087
"2007-01-09",59.3946
"2007-01-10",49.3039
"2007-01-11",37.3649
"2007-01-12",31.4739
"2007-01-13",29.6456
"2007-01-14",33.3646
"2007-01-15",37.0348
"2007-01-16",39.8622
"2007-01-17",38.4478
"2007-01-18",40.348
"2007-01-19",44.5692
"2007-01-20",46.2618
"2007-01-21",44.467
"2007-01-22",44.695
"2007-01-23",48.612
"2007-01-24",52.7367
"2007-01-25",52.5256
"2007-01-26",45.2856
"2007-01-27",41.3656
"2007-01-28",42.8025
"2007-01-29",47.1043
"2007-01-30",48.6538
"2007-01-31",43.1283
"2007-02-01",42.5095
"2007-02-02",44.4999
"2007-02-03",50.9959
"2007-02-04",57.7432
"2007-02-05",61.9234
"2007-02-06",53.8227
"2007-02-07",50.2423
"2007-02-08",49.5734
"2007-02-09",52.1348
"2007-02-10",53.5158
"2007-02-11",48.8703
"2007-02-12",43.682
"2007-02-13",44.4632
"2007-02-14",45.3254
"2007-02-15",50.5193
"2007-02-16",57.2533
"2007-02-17",59.7209
"2007-02-18",51.3198
"2007-02-19",46.0967
"2007-02-20",45.6172
"2007-02-21",46.3433
"2007-02-22",41.8269
"2007-02-23",39.4824
"2007-02-24",42.2413
"2007-02-25",43.0984
"2007-02-26",41.943
"2007-02-27",38.5034
"2007-02-28",38.6672
"2007-03-01",38.4184
"2007-03-02",42.8713
"2007-03-03",51.4265
"2007-03-04",56.6784
"2007-03-05",57.8356
"2007-03-06",57.427
"2007-03-07",54.9424
"2007-03-08",49.696
"2007-03-09",50.5492
"2007-03-10",55.2781
"2007-03-11",62.8554
"2007-03-12",68.279
"2007-03-13",70.1026
"2007-03-14",63.3677
"2007-03-15",61.9126
"2007-03-16",66.9351
"2007-03-17",64.2801
"2007-03-18",56.6769
"2007-03-19",55.405
"2007-03-20",51.7842
"2007-03-21",49.7068
"2007-03-22",55.6873
"2007-03-23",60.6655
"2007-03-24",60.0633
"2007-03-25",57.0279
"2007-03-26",51.948
"2007-03-27",44.3869
"2007-03-28",46.8725
"2007-03-29",53.1792
"2007-03-30",58.3023
"2007-03-31",59.3784
"2007-04-01",58.9908
"2007-04-02",57.7938
"2007-04-03",60.5466
"2007-04-04",63.966
"2007-04-05",65.5299
"2007-04-06",60.8115
"2007-04-07",57.6547
"2007-04-08",54.8483
"2007-04-09",54.3121
"2007-04-10",52.5992
"2007-04-11",48.8779
"2007-04-12",46.6171
"2007-04-13",52.8566
"2007-04-14",44.7186
"2007-04-15",49.6911
"2007-04-16",56.8128
"2007-04-17",50.3197
"2007-04-18",44.0542
"2007-04-19",41.5832
"2007-04-20",47.0322
"2007-04-21",47.7153
"2007-04-22",51.8634
"2007-04-23",51.753
"2007-04-24",56.8051
"2007-04-25",58.4969
"2007-04-26",58.6859
"2007-04-27",68.6055
"2007-04-28",76.4992
"2007-04-29",67.8929
"2007-04-30",61.8516
"2007-05-01",57.8424
"2007-05-02",49.6078
"2007-05-03",45.4449
"2007-05-04",49.7464
"2007-05-05",51.9679
"2007-05-06",59.5256
"2007-05-07",67.1929
"2007-05-08",71.7381
"2007-05-09",70.1215
"2007-05-10",63.9189
"2007-05-11",62.3268
"2007-05-12",55.5501
"2007-05-13",55.9679
"2007-05-14",63.1884
"2007-05-15",63.1234
"2007-05-16",60.9672
"2007-05-17",58.9838
"2007-05-18",59.9171
"2007-05-19",60.3259
"2007-05-20",59.0382
"2007-05-21",59.9887
"2007-05-22",61.9768
"2007-05-23",62.7615
"2007-05-24",68.1823
"2007-05-25",68.8834
"2007-05-26",68.4223
"2007-05-27",61.5942
"2007-05-28",61.3256
"2007-05-29",63.5068
"2007-05-30",62.6418
"2007-05-31",62.9339
"2007-06-01",65.0719
"2007-06-02",64.7053
"2007-06-03",65.6789
"2007-06-04",64.2484
"2007-06-05",56.7885
"2007-06-06",50.2252
"2007-06-07",56.6595
"2007-06-08",59.6964
"2007-06-09",66.2475
"2007-06-10",66.9999
"2007-06-11",65.6107
"2007-06-12",68.4849
"2007-06-13",77.1478
"2007-06-14",81.5594
"2007-06-15",77.8986
"2007-06-16",67.9269
"2007-06-17",66.6986
"2007-06-18",73.4436
"2007-06-19",68.0459
"2007-06-20",66.6468
"2007-06-21",68.605
"2007-06-22",67.4681
"2007-06-23",67.4875
"2007-06-24",65.1128
"2007-06-25",66.5699
"2007-06-26",72.2255
"2007-06-27",68.9855
"2007-06-28",68.0385
"2007-06-29",66.8161
"2007-06-30",64.9951
"2007-07-01",66.126
"2007-07-02",68.6538
"2007-07-03",72.0685
"2007-07-04",79.3434
"2007-07-05",86.2192
"2007-07-06",79.831
"2007-07-07",71.2414
"2007-07-08",72.2014
"2007-07-09",71.7051
"2007-07-10",71.0717
"2007-07-11",72.7817
"2007-07-12",66.5305
"2007-07-13",70.7157
"2007-07-14",72.0858
"2007-07-15",70.8318
"2007-07-16",70.0122
"2007-07-17",64.5377
"2007-07-18",63.536
"2007-07-19",62.6058
"2007-07-20",64.6558
"2007-07-21",69.6438
"2007-07-22",71.8779
"2007-07-23",71.3127
"2007-07-24",77.0707
"2007-07-25",73.456
"2007-07-26",74.3227
"2007-07-27",74.3736
"2007-07-28",72.7088
"2007-07-29",69.8644
"2007-07-30",71.155
"2007-07-31",74.2492
"2007-08-01",73.2162
"2007-08-02",78.0285
"2007-08-03",78.8124
"2007-08-04",79.9651
"2007-08-05",69.7131
