,"(deg F) Min Temperature (gridMET) at Lands, 2006-12-01 to 2021-09-30"
"2006-12-01",30.7429
"2006-12-02",30.8296
"2006-12-03",35.2254
"2006-12-04",34.704
"2006-12-05",37.396
"2006-12-06",38.9719
"2006-12-07",42.0226
"2006-12-08",40.798
"2006-12-09",37.8106
"2006-12-10",31.6296
"2006-12-11",33.0492
"2006-12-12",36.1119
"2006-12-13",39.6608
"2006-12-14",39.2484
"2006-12-15",36.1542
"2006-12-16",26.8673
"2006-12-17",23.6277
"2006-12-18",20.6663
"2006-12-19",21.844
"2006-12-20",25.9941
"2006-12-21",29.3416
"2006-12-22",30.5377
"2006-12-23",28.8673
"2006-12-24",36.7974
"2006-12-25",38.4561
"2006-12-26",42.2785
"2006-12-27",32.1679
"2006-12-28",26.2344
"2006-12-29",25.3945
"2006-12-30",29.4613
"2006-12-31",32.3737
"2007-01-01",27.9559
"2007-01-02",29.4831
"2007-01-03",34.7734
"2007-01-04",30.5001
"2007-01-05",25.1926
"2007-01-06",25.1611
"2007-01-07",30.054
"2007-01-08",32.4048
"2007-01-09",41.1577
"2007-01-10",34.6786
"2007-01-11",25.9363
"2007-01-12",18.5387
"2007-01-13",13.5007
"2007-01-14",17.6821
"2007-01-15",19.0368
"2007-01-16",23.0513
"2007-01-17",23.5204
"2007-01-18",22.789
"2007-01-19",25.8138
"2007-01-20",29.8508
"2007-01-21",29.9215
"2007-01-22",25.9765
"2007-01-23",29.0592
"2007-01-24",33.3313
"2007-01-25",35.2584
"2007-01-26",28.2688
"2007-01-27",30.7452
"2007-01-28",32.7171
"2007-01-29",33.6
"2007-01-30",34.3087
"2007-01-31",28.8012
"2007-02-01",28.2519
"2007-02-02",28.7305
"2007-02-03",34.5546
"2007-02-04",40.2332
"2007-02-05",46.0503
"2007-02-06",39.0799
"2007-02-07",42.1628
"2007-02-08",38.656
"2007-02-09",43.1838
"2007-02-10",45.5814
"2007-02-11",38.2851
"2007-02-12",31.0167
"2007-02-13",33.8995
"2007-02-14",30.286
"2007-02-15",35.3412
"2007-02-16",41.3402
"2007-02-17",43.8489
"2007-02-18",38.9815
"2007-02-19",32.873
"2007-02-20",30.2401
"2007-02-21",30.7377
"2007-02-22",33.2082
"2007-02-23",30.0664
"2007-02-24",26.883
"2007-02-25",35.8446
"2007-02-26",32.0639
"2007-02-27",27.2779
"2007-02-28",27.2979
"2007-03-01",23.0524
"2007-03-02",24.7352
"2007-03-03",31.2334
"2007-03-04",38.3738
"2007-03-05",40.9129
"2007-03-06",39.1635
"2007-03-07",40.9379
"2007-03-08",31.935
"2007-03-09",31.604
"2007-03-10",36.0174
"2007-03-11",40.453
"2007-03-12",47.3221
"2007-03-13",51.3552
"2007-03-14",44.1765
"2007-03-15",40.9748
"2007-03-16",46.5411
"2007-03-17",47.0376
"2007-03-18",37.341
"2007-03-19",37.7348
"2007-03-20",39.549
"2007-03-21",31.6062
"2007-03-22",36.3751
"2007-03-23",41.4462
"2007-03-24",42.1169
"2007-03-25",40.1533
"2007-03-26",36.6496
"2007-03-27",30.5996
"2007-03-28",28.3795
"2007-03-29",31.3509
"2007-03-30",37.4958
"2007-03-31",41.7922
"2007-04-01",41.2756
"2007-04-02",39.7922
"2007-04-03",40.8112
"2007-04-04",47.2566
"2007-04-05",49.134
"2007-04-06",45.1036
"2007-04-07",42.8079
"2007-04-08",38.3101
"2007-04-09",41.6662
"2007-04-10",34.727
"2007-04-11",38.1803
"2007-04-12",32.2801
"2007-04-13",33.0123
"2007-04-14",34.5934
"2007-04-15",33.2305
"2007-04-16",36.8749
"2007-04-17",33.7647
"2007-04-18",28.454
"2007-04-19",27.5095
"2007-04-20",34.1118
"2007-04-21",31.7428
"2007-04-22",38.8857
"2007-04-23",33.1142
"2007-04-24",37.157
"2007-04-25",40.962
"2007-04-26",37.3221
"2007-04-27",47.5533
"2007-04-28",59.1989
"2007-04-29",49.41
"2007-04-30",41.9059
"2007-05-01",42.3889
"2007-05-02",38.7127
"2007-05-03",30.1296
"2007-05-04",34.8805
"2007-05-05",36.5691
"2007-05-06",39.2137
"2007-05-07",48.0385
"2007-05-08",53.2938
"2007-05-09",52.9903
"2007-05-10",45.5108
"2007-05-11",43.9471
"2007-05-12",37.2951
