,"(deg C) Max Temperature (PRISM MONTHLY) at Polygon 1, Dec 2002 to Jan 2022"
"2002-12-01",14.4947
"2003-01-01",19.8458
"2003-02-01",16.2867
"2003-03-01",19.3043
"2003-04-01",17.7281
"2003-05-01",25.3936
"2003-06-01",31.7347
"2003-07-01",37.2792
"2003-08-01",33.7133
"2003-09-01",32.9856
"2003-10-01",31.7573
"2003-11-01",17.5313
"2003-12-01",14.7629
"2004-01-01",15.5676
"2004-02-01",14.3926
"2004-03-01",24.0551
"2004-04-01",25.0229
"2004-05-01",25.9328
"2004-06-01",31.073
"2004-07-01",34.6373
"2004-08-01",33.9167
"2004-09-01",32.5555
"2004-10-01",24.0512
"2004-11-01",17.5759
"2004-12-01",16.8299
"2005-01-01",15.4963
"2005-02-01",16.679
"2005-03-01",18.9666
"2005-04-01",20.017
"2005-05-01",25.5446
"2005-06-01",28.8548
"2005-07-01",37.8773
"2005-08-01",36.3723
"2005-09-01",31.0099
"2005-10-01",26.712
"2005-11-01",23.1406
"2005-12-01",17.3754
"2006-01-01",16.1604
"2006-02-01",19.7694
"2006-03-01",13.8936
"2006-04-01",17.8469
"2006-05-01",26.516
"2006-06-01",32.581
"2006-07-01",37.8197
"2006-08-01",34.527
"2006-09-01",33.3025
"2006-10-01",25.5854
"2006-11-01",20.8413
"2006-12-01",16.7075
"2007-01-01",16.443
"2007-02-01",16.4839
"2007-03-01",22.6467
"2007-04-01",22.9539
"2007-05-01",27.4631
"2007-06-01",31.2545
"2007-07-01",34.3679
"2007-08-01",34.9403
"2007-09-01",29.9583
"2007-10-01",26.4426
"2007-11-01",20.9696
"2007-12-01",13.7323
"2008-01-01",13.511
"2008-02-01",15.4724
"2008-03-01",20.2123
"2008-04-01",22.0146
"2008-05-01",26.4987
"2008-06-01",33.4847
"2008-07-01",36.5668
"2008-08-01",37.2575
"2008-09-01",34.567
"2008-10-01",29.7532
"2008-11-01",21.3925
"2008-12-01",15.1106
"2009-01-01",18.824
"2009-02-01",15.5789
"2009-03-01",18.1846
"2009-04-01",21.6632
"2009-05-01",28.7167
"2009-06-01",29.9656
"2009-07-01",37.086
"2009-08-01",35.338
"2009-09-01",35.2747
"2009-10-01",24.1278
"2009-11-01",20.9485
"2009-12-01",15.8226
"2010-01-01",15.2435
"2010-02-01",15.2701
"2010-03-01",18.8189
"2010-04-01",19.0987
"2010-05-01",23.0114
"2010-06-01",30.4329
"2010-07-01",34.7751
"2010-08-01",34.5454
"2010-09-01",34.2537
"2010-10-01",26.1659
"2010-11-01",18.104
"2010-12-01",15.0062
"2011-01-01",18.4339
"2011-02-01",15.6696
"2011-03-01",16.0028
"2011-04-01",20.7611
"2011-05-01",23.2219
"2011-06-01",28.2521
"2011-07-01",33.5145
"2011-08-01",35.6062
"2011-09-01",35.5372
"2011-10-01",27.767
"2011-11-01",19.1552
"2011-12-01",17.3546
"2012-01-01",19.2961
"2012-02-01",18.1389
"2012-03-01",18.6309
"2012-04-01",21.3981
"2012-05-01",27.5017
"2012-06-01",32.2925
"2012-07-01",34.0749
"2012-08-01",37.3084
"2012-09-01",35.6334
"2012-10-01",27.9437
"2012-11-01",21.3517
"2012-12-01",14.0736
"2013-01-01",15.8095
"2013-02-01",17.9723
"2013-03-01",21.5002
"2013-04-01",25.5018
"2013-05-01",27.9894
"2013-06-01",33.6983
"2013-07-01",36.6024
"2013-08-01",35.5292
"2013-09-01",31.505
