,"(deg C) Min Temperature (PRISM MONTHLY) at Polygon 1, Jan 2003 to Dec 2021"
"2003-01-01",4.2046
"2003-02-01",1.9847
"2003-03-01",2.8832
"2003-04-01",2.9294
"2003-05-01",7.7487
"2003-06-01",8.8928
"2003-07-01",11.0372
"2003-08-01",10.5095
"2003-09-01",10.1595
"2003-10-01",10.2909
"2003-11-01",1.0702
"2003-12-01",2.2928
"2004-01-01",0.9891
"2004-02-01",1.8596
"2004-03-01",4.3617
"2004-04-01",4.001
"2004-05-01",4.1551
"2004-06-01",8.0419
"2004-07-01",10.469
"2004-08-01",10.8504
"2004-09-01",9.3698
"2004-10-01",6.2882
"2004-11-01",2.5105
"2004-12-01",1.4574
"2005-01-01",2.1982
"2005-02-01",4.3812
"2005-03-01",4.6022
"2005-04-01",3.0166
"2005-05-01",7.3817
"2005-06-01",8.5067
"2005-07-01",11.6636
"2005-08-01",11.7119
"2005-09-01",8.4101
"2005-10-01",5.9795
"2005-11-01",2.6213
"2005-12-01",4.794
"2006-01-01",-1.8203
"2006-02-01",0.1404
"2006-03-01",1.3646
"2006-04-01",6.1746
"2006-05-01",5.7469
"2006-06-01",9.2246
"2006-07-01",12.9825
"2006-08-01",10.0098
"2006-09-01",8.2459
"2006-10-01",5.9439
"2006-11-01",3.7208
"2006-12-01",0.5896
"2007-01-01",-2.9398
"2007-02-01",1.9312
"2007-03-01",3.2639
"2007-04-01",3.9918
"2007-05-01",6.4585
"2007-06-01",7.9182
"2007-07-01",11.5449
"2007-08-01",10.0711
"2007-09-01",8.1191
"2007-10-01",6.915
"2007-11-01",4.9389
"2007-12-01",-2.351
"2008-01-01",0.2899
"2008-02-01",0.4434
"2008-03-01",1.3873
"2008-04-01",0.5276
"2008-05-01",5.0107
"2008-06-01",9.1814
"2008-07-01",12.0488
"2008-08-01",12.6899
"2008-09-01",10.8591
"2008-10-01",7.0606
"2008-11-01",7.1366
"2008-12-01",1.7078
"2009-01-01",3.056
"2009-02-01",3.4216
"2009-03-01",3.9132
"2009-04-01",4.3601
"2009-05-01",8.8719
"2009-06-01",9.1656
"2009-07-01",12.2175
"2009-08-01",11.4774
"2009-09-01",12.6364
"2009-10-01",6.3411
"2009-11-01",4.757
"2009-12-01",2.4897
"2010-01-01",3.7517
"2010-02-01",3.5401
"2010-03-01",3.2453
"2010-04-01",4.4507
"2010-05-01",5.4723
"2010-06-01",9.412
"2010-07-01",10.9151
"2010-08-01",10.0695
"2010-09-01",9.7953
"2010-10-01",8.6332
"2010-11-01",4.6972
"2010-12-01",4.0745
"2011-01-01",3.9414
"2011-02-01",1.5544
"2011-03-01",1.8683
"2011-04-01",3.979
"2011-05-01",5.2185
"2011-06-01",7.8943
"2011-07-01",10.0642
"2011-08-01",9.3352
"2011-09-01",12.1162
"2011-10-01",7.3111
"2011-11-01",2.7017
"2011-12-01",0.8331
"2012-01-01",0.7318
"2012-02-01",3.1843
"2012-03-01",3.3862
"2012-04-01",4.9237
"2012-05-01",5.8604
"2012-06-01",9.1762
"2012-07-01",9.7116
"2012-08-01",12.4844
"2012-09-01",11.0295
"2012-10-01",9.181
"2012-11-01",4.332
"2012-12-01",3.4608
"2013-01-01",-0.0532
"2013-02-01",1.1299
"2013-03-01",4.0882
"2013-04-01",5.7531
"2013-05-01",8.3186
"2013-06-01",11.2065
"2013-07-01",12.2981
"2013-08-01",10.2913
"2013-09-01",9.9408
"2013-10-01",7.1712
"2013-11-01",5.1586
"2013-12-01",0.7864
"2014-01-01",4.8197
"2014-02-01",3.8307
"2014-03-01",5.3888
"2014-04-01",5.7038
"2014-05-01",8.4495
"2014-06-01",9.0627
"2014-07-01",13.7338
"2014-08-01",11.8824
"2014-09-01",11.4599
"2014-10-01",10.9013
"2014-11-01",7.2531
"2014-12-01",6.809
"2015-01-01",3.8051
"2015-02-01",5.5039
"2015-03-01",6.077
"2015-04-01",5.6309
"2015-05-01",7.1169
"2015-06-01",9.7233
"2015-07-01",12.2086
"2015-08-01",13.0157
"2015-09-01",11.5548
"2015-10-01",10.2337
"2015-11-01",3.9065
"2015-12-01",1.9279
"2016-01-01",3.9494
"2016-02-01",5.236
"2016-03-01",5.243
"2016-04-01",6.6019
"2016-05-01",7.8457
"2016-06-01",11.2757
"2016-07-01",10.6879
"2016-08-01",11.1123
"2016-09-01",10.7441
"2016-10-01",9.65
"2016-11-01",5.1832
"2016-12-01",3.0278
"2017-01-01",3.1777
"2017-02-01",5.4371
"2017-03-01",4.7773
"2017-04-01",6.4606
"2017-05-01",7.6335
"2017-06-01",10.6808
"2017-07-01",13.2162
"2017-08-01",13.3051
"2017-09-01",12.6876
"2017-10-01",7.4784
"2017-11-01",6.4234
"2017-12-01",3.1461
"2018-01-01",5.8108
"2018-02-01",1.2365
"2018-03-01",2.8476
"2018-04-01",4.8918
"2018-05-01",6.9032
"2018-06-01",9.1555
"2018-07-01",14.3898
"2018-08-01",12.554
"2018-09-01",9.2157
"2018-10-01",7.9973
"2018-11-01",5.6433
"2018-12-01",3.736
"2019-01-01",4.6948
"2019-02-01",0.9561
"2019-03-01",3.3665
"2019-04-01",6.5008
"2019-05-01",6.8249
"2019-06-01",10.581
"2019-07-01",11.254
"2019-08-01",13.5407
"2019-09-01",11.488
"2019-10-01",5.0909
"2019-11-01",4.1598
"2019-12-01",4.4344
"2020-01-01",1.7389
"2020-02-01",2.2778
"2020-03-01",4.1688
"2020-04-01",5.9054
"2020-05-01",7.4083
"2020-06-01",8.7061
"2020-07-01",11.5765
