Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 9.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.

Part II - Data. NOTE: Monthly totals are labled as the first day of the month
ABBR,DATE_TIME,RNF_MM,
PINN-ES,12/1/2002 12:00:00 AM,158.4,
PINN-ES,1/1/2003 12:00:00 AM,22.3,
PINN-ES,2/1/2003 12:00:00 AM,42.5,
PINN-ES,3/1/2003 12:00:00 AM,40.3,
PINN-ES,4/1/2003 12:00:00 AM,38.2,
PINN-ES,5/1/2003 12:00:00 AM,31.8,
PINN-ES,6/1/2003 12:00:00 AM,0,
PINN-ES,7/1/2003 12:00:00 AM,0.2,
PINN-ES,8/1/2003 12:00:00 AM,3.6,
PINN-ES,9/1/2003 12:00:00 AM,0,
PINN-ES,10/1/2003 12:00:00 AM,4.8,
PINN-ES,11/1/2003 12:00:00 AM,15.5,
PINN-ES,12/1/2003 12:00:00 AM,84,
PINN-ES,1/1/2004 12:00:00 AM,24.8,
PINN-ES,2/1/2004 12:00:00 AM,117.4,
PINN-ES,3/1/2004 12:00:00 AM,12,
PINN-ES,4/1/2004 12:00:00 AM,0.5,
PINN-ES,5/1/2004 12:00:00 AM,0,
PINN-ES,6/1/2004 12:00:00 AM,0,
PINN-ES,7/1/2004 12:00:00 AM,0,
PINN-ES,8/1/2004 12:00:00 AM,0,
PINN-ES,9/1/2004 12:00:00 AM,0,
PINN-ES,10/1/2004 12:00:00 AM,97,
PINN-ES,11/1/2004 12:00:00 AM,5.6,
PINN-ES,12/1/2004 12:00:00 AM,127.1,
PINN-ES,1/1/2005 12:00:00 AM,81.9,
PINN-ES,2/1/2005 12:00:00 AM,92.1,
PINN-ES,3/1/2005 12:00:00 AM,74.2,
PINN-ES,4/1/2005 12:00:00 AM,33.1,
PINN-ES,5/1/2005 12:00:00 AM,10.1,
PINN-ES,6/1/2005 12:00:00 AM,1.8,
PINN-ES,7/1/2005 12:00:00 AM,0,
PINN-ES,8/1/2005 12:00:00 AM,0,
PINN-ES,9/1/2005 12:00:00 AM,0,
PINN-ES,10/1/2005 12:00:00 AM,0,
PINN-ES,11/1/2005 12:00:00 AM,10.6,
PINN-ES,12/1/2005 12:00:00 AM,62,
PINN-ES,1/1/2006 12:00:00 AM,91,
PINN-ES,2/1/2006 12:00:00 AM,45.2,
PINN-ES,3/1/2006 12:00:00 AM,47.2,
PINN-ES,4/1/2006 12:00:00 AM,64.7,
PINN-ES,5/1/2006 12:00:00 AM,29.7,
PINN-ES,6/1/2006 12:00:00 AM,0,
PINN-ES,7/1/2006 12:00:00 AM,6.2,
PINN-ES,8/1/2006 12:00:00 AM,0,
PINN-ES,9/1/2006 12:00:00 AM,0,
PINN-ES,10/1/2006 12:00:00 AM,16.3,
PINN-ES,11/1/2006 12:00:00 AM,18.5,
PINN-ES,12/1/2006 12:00:00 AM,58.1,
PINN-ES,1/1/2007 12:00:00 AM,25.1,
PINN-ES,2/1/2007 12:00:00 AM,60.4,
PINN-ES,3/1/2007 12:00:00 AM,3.5,
PINN-ES,4/1/2007 12:00:00 AM,22,
PINN-ES,5/1/2007 12:00:00 AM,0,
PINN-ES,6/1/2007 12:00:00 AM,0,
