Location_ID,Event_ID,Observation_ID,Year,Start_Date,Territory_Name,Survey_Purpose,Analysis_Type,Territory_Type,Area_Type,Detection_Purpose,Detection_Result_Code,Detection_Result,PRFA_Detected,OBS_Stime,OBS_Ftime,Duration,Species,Detection,Adults,Fledglings,Nestlings,OtherAge,Num_Eggs,Territorial_Behav,Nest_Code
222,13488,20519,2019,2019-06-24T00:00:00Z,Narrows East Fork of Marion Canyon,I&M Protocol,Occupancy,Territory,Non-core,Occupancy,YP,Yes: No presence/full survey,No,12/30/1899 8:20:00,12/30/1899 12:25:00,,PRFA,0,0,0,0,NA,0,No,1-NA
29,13492,20529,2019,2019-06-22T00:00:00Z,Egg,I&M Protocol,Fecundity,Territory,Core,Fledglings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 8:50:00,12/30/1899 10:18:00,,PRFA,1,1,1,0,NA,0,Yes,egg-1
40,13487,20517,2019,2019-06-18T00:00:00Z,Crowley Towers,I&M Protocol,Fecundity,Territory,Core,Fledglings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 7:30:00,12/30/1899 8:45:00,,PRFA,1,0,4,0,NA,0,Yes,CT-9
199,13483,20514,2019,2019-06-15T00:00:00Z,South Chalone,I&M Protocol,Occupancy,Territory,Non-core,Occupancy,YP,Yes: No presence/full survey,No,12/30/1899 12:30:00,12/30/1899 15:00:00,,PRFA,0,0,0,0,NA,0,No,1-NA
150,13477,20506,2019,2019-06-14T00:00:00Z,Crowley Towers,I&M Protocol,Fecundity,Territory,Core,Nestlings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 8:30:00,12/30/1899 10:05:00,,PRFA,1,0,0,1,NA,0,Yes,CT-9
150,13477,20505,2019,2019-06-14T00:00:00Z,Citadel,I&M Protocol,Fecundity,Territory,Core,Fledglings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 9:18:00,12/30/1899 10:05:00,,PRFA,1,1,3,0,NA,0,Yes,ci-1
150,13471,20499,2019,2019-06-12T00:00:00Z,Crowley Towers,I&M Protocol,Fecundity,Territory,Core,Nestlings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 8:30:00,12/30/1899 9:38:00,,PRFA,1,0,0,2,NA,0,Yes,CT-9
150,13471,20498,2019,2019-06-12T00:00:00Z,Citadel,I&M Protocol,Fecundity,Territory,Core,Nestlings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 8:45:00,12/30/1899 9:38:00,,PRFA,1,1,0,3,NA,0,Yes,ci-1
130,13470,20497,2019,2019-06-10T00:00:00Z,Resurrection Wall,I&M Protocol,Fecundity,Territory,Core,Fledglings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 8:50:00,12/30/1899 15:30:00,,PRFA,1,1,3,0,NA,0,Yes,RW-2
191,13464,20491,2019,2019-06-08T00:00:00Z,Citadel,I&M Protocol,Fecundity,Territory,Core,Nestlings,YR,Yes: Raptor status confirmed,Yes,12/30/1899 11:45:00,12/30/1899 14:30:00,,PRFA,1,1,0,3,NA,0,Yes,ci-1
