ID,Year,SurveyDate,TerritoryName,IsProtocolSurvey,ObservationID,Analysis Type,Sample Qualifier,BreedingStatus,StartTime,EndTime,CommonName,AdultCount,FledglingCount,NestlingCount,OtherCount,EggCountCode,IsTerritorialBehavior,Summary,NestCode,TerritoryNestID,varObject,VarFilter,Detection,JulianDay,Area_Type,BreedingYear,DaySinceDec15th
2,2013,2013-03-06,D. Soto Canyon,TRUE,17885,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T13:30:00Z,1899-12-31T16:30:00Z,Prairie Falcon,0,0,0,0,0,No,No sign of PRFA presence/activity at D. Soto Cyn.,"NA",519,frmSurveyDetail,[ID] = 2,0,65,Non-core,2013,82
2,2013,2013-03-06,Guard Rock,TRUE,17887,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T13:30:00Z,1899-12-31T16:30:00Z,Prairie Falcon,0,0,0,0,0,No,No sign of PRFA presence/activity at Guard Rock.,"NA",497,frmSurveyDetail,[ID] = 2,0,65,Non-core,2013,82
2,2013,2013-03-06,High Peaks Trail West of Chalone Picnic Area,TRUE,17886,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T13:30:00Z,1899-12-31T16:30:00Z,Prairie Falcon,0,0,0,0,0,No,No sign of PRFA presence/activity at WCP rock areas.,"NA",405,frmSurveyDetail,[ID] = 2,0,65,Non-core,2013,82
3,2014,2014-05-06,Willow Spring Slide,TRUE,18722,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T10:00:00Z,1899-12-31T11:15:00Z,Prairie Falcon,2,0,0,0,Indet,Yes,"PRFA F ad  sits low at WSS-2, very likely incubating eggs. PRFA M ad circles into area, chups briefly, lands to eprch 20-25m SW of WSS-2, preens.",WSS-2,1,frmSurveyDetail,[ID] = 3,1,126,Non-core,2014,143
5,2012,2012-07-01,Pig Canyon,TRUE,17544,Fecundity,Yes: Raptor status confirmed,Nestlings,1899-12-31T10:25:00Z,1899-12-31T11:18:00Z,Prairie Falcon,0,0,3,0,0,Yes,"At least 3 PRFA nestlings @ PIG-9, 37+ days old, likely fledging by 4-5 July 2012. PRFA young perch at entry, exercise-flap.",PIG-9,217,frmSurveyDetail,[ID] = 5,1,183,Non-core,2012,200
7,2014,2014-05-19,Egg,TRUE,18755,Fecundity,Yes: Raptor status confirmed,Nestlings,1899-12-31T10:52:00Z,1899-12-31T12:30:00Z,Prairie Falcon,1,0,5,0,0,Yes,"5 PRFA nestlings (21-23 days old) at EGG-1, likely 3 M and 2 F. PRFA ad F feeds nestlings, flies from site.",EGG-1,82,frmSurveyDetail,[ID] = 7,1,139,Core,2014,156
7,2014,2014-05-19,Resurrection Wall,TRUE,18756,Fecundity,Yes: Raptor status confirmed,Nestlings,1899-12-31T10:52:00Z,1899-12-31T12:30:00Z,Prairie Falcon,1,0,2,0,0,Yes,"Only 2 PRFA nestlings (25-27 days old) at RW-8, ad arrives, feeds both young.",RW-8,275,frmSurveyDetail,[ID] = 7,1,139,Core,2014,156
9,2014,2014-05-08,North Chalone Peak,TRUE,18724,Fecundity,Yes: Raptor status confirmed,Nestlings,1899-12-31T11:10:00Z,1899-12-31T11:54:00Z,Prairie Falcon,0,0,3,0,0,Yes,"At least 3 PRFA nestlings - ~9-15 days old - stand, preen, slump into dozing pile at NC-1.",NC-1,46,frmSurveyDetail,[ID] = 9,1,128,Non-core,2014,145
10,2015,2015-03-19,Crowley Drainage,TRUE,1277,Occupancy,Yes: No presence/full survey,Unknown,1899-12-31T14:50:00Z,1899-12-31T18:20:00Z,Prairie Falcon,0,0,0,0,0,No,No sign of PRFA presence/activity at Crowley Drainage.,"NA",495,frmSurveyDetail,[ID] = 10,0,78,Non-core,2015,95
10,2015,2015-03-19,Crowley Towers,TRUE,1975,Fecundity,Yes: Raptor status confirmed,Unknown,1899-12-31T14:50:00Z,1899-12-31T18:20:00Z,Prairie Falcon,1,0,0,0,Indet,Yes,"PRFA ad emerges from CT-2 (after 2 hrs.), flaps hard S, then PRFA ad circles back into view, banks up to CT-2, disappears into site interior, does not reappear, likely incubating eggs.",CT-2,101,frmSurveyDetail,[ID] = 10,1,78,Core,2015,95
10,2015,2015-03-19,Mating Rocks,TRUE,2250,Occupancy,Yes: No presence/full survey,Unknown,1899-12-31T14:50:00Z,1899-12-31T18:20:00Z,Prairie Falcon,0,0,0,0,0,No,No sign of PRFA presence/activity at Mating Rocks.,"NA",559,frmSurveyDetail,[ID] = 10,0,78,Non-core,2015,95
