," 5 Year SPI (gridMET Drought) at Polygon 1, 2003-01-01 to 2021-12-01"
"2003-01-05",0.47
"2003-01-10",0.47
"2003-01-15",0.47
"2003-01-20",0.47
"2003-01-25",0.54
"2003-01-30",0.54
"2003-02-04",0.17
"2003-02-09",-0.03
"2003-02-14",-0.03
"2003-02-19",-0.1
"2003-02-24",-0.17
"2003-03-01",-0.1
"2003-03-06",-0.03
"2003-03-11",-0.03
"2003-03-16",0.03
"2003-03-21",0.03
"2003-03-26",-0.03
"2003-03-31",-0.03
"2003-04-05",-0.1
"2003-04-10",-0.1
"2003-04-15",-0.1
"2003-04-20",-0.1
"2003-04-25",-0.1
"2003-04-30",-0.03
"2003-05-05",-0.1
"2003-05-10",-0.1
"2003-05-15",-0.1
"2003-05-20",-0.1
"2003-05-25",-0.17
"2003-05-30",-0.17
"2003-06-04",-0.17
"2003-06-09",-0.17
"2003-06-14",-0.17
"2003-06-19",-0.17
"2003-06-24",-0.17
"2003-06-29",-0.17
"2003-07-04",-0.17
"2003-07-09",-0.17
"2003-07-14",-0.17
"2003-07-19",-0.17
"2003-07-24",-0.17
"2003-07-29",-0.17
"2003-08-03",-0.17
"2003-08-08",-0.17
"2003-08-13",-0.17
"2003-08-18",-0.17
"2003-08-23",-0.17
"2003-08-28",-0.17
"2003-09-02",-0.17
"2003-09-07",-0.17
"2003-09-12",-0.17
"2003-09-17",-0.17
"2003-09-22",-0.17
"2003-09-27",-0.17
"2003-10-02",-0.17
"2003-10-07",-0.17
"2003-10-12",-0.17
"2003-10-17",-0.17
"2003-10-22",-0.24
"2003-10-27",-0.24
"2003-11-01",-0.17
"2003-11-06",-0.17
"2003-11-11",-0.17
"2003-11-16",-0.17
"2003-11-21",-0.24
"2003-11-26",-0.32
"2003-12-01",-0.39
"2003-12-06",-0.39
"2003-12-11",-0.39
"2003-12-16",-0.39
"2003-12-21",-0.39
"2003-12-26",-0.39
"2003-12-31",-0.32
"2004-01-05",-0.1
"2004-01-10",-0.1
"2004-01-15",-0.1
"2004-01-20",-0.1
"2004-01-25",-0.24
"2004-01-30",-0.24
"2004-02-04",-0.32
"2004-02-09",-0.39
"2004-02-14",-0.39
"2004-02-19",-0.32
"2004-02-24",-0.32
"2004-02-29",-0.17
"2004-03-05",-0.1
"2004-03-10",-0.1
"2004-03-15",-0.1
"2004-03-20",-0.17
"2004-03-25",-0.32
"2004-03-30",-0.17
"2004-04-04",-0.17
"2004-04-09",-0.24
"2004-04-14",-0.32
"2004-04-19",-0.32
"2004-04-24",-0.32
"2004-04-29",-0.24
"2004-05-04",-0.24
"2004-05-09",-0.24
"2004-05-14",-0.24
"2004-05-19",-0.24
"2004-05-24",-0.24
"2004-05-29",-0.24
"2004-06-03",-0.24
"2004-06-08",-0.24
"2004-06-13",-0.24
"2004-06-18",-0.24
"2004-06-23",-0.24
"2004-06-28",-0.24
"2004-07-03",-0.24
"2004-07-08",-0.24
"2004-07-13",-0.24
"2004-07-18",-0.24
"2004-07-23",-0.24
"2004-07-28",-0.24
"2004-08-02",-0.24
"2004-08-07",-0.24
"2004-08-12",-0.24
"2004-08-17",-0.24
"2004-08-22",-0.24
"2004-08-27",-0.24
"2004-09-01",-0.24
"2004-09-06",-0.24
"2004-09-11",-0.24
"2004-09-16",-0.24
"2004-09-21",-0.24
"2004-09-26",-0.24
"2004-10-01",-0.24
"2004-10-06",-0.24
"2004-10-11",-0.24
"2004-10-16",-0.24
"2004-10-21",-0.1
"2004-10-26",-0.03
"2004-10-31",-0.03
"2004-11-05",-0.03
"2004-11-10",-0.1
"2004-11-15",-0.1
"2004-11-20",-0.1
"2004-11-25",-0.03
"2004-11-30",-0.1
"2004-12-05",-0.1
"2004-12-10",-0.03
"2004-12-15",-0.1
"2004-12-20",-0.03
"2004-12-25",-0.03
"2004-12-30",0.24
"2005-01-05",0.17
"2005-01-10",0.24
"2005-01-15",0.32
"2005-01-20",0.1
"2005-01-25",0.03
"2005-01-30",0.1
"2005-02-04",0.03
"2005-02-09",0.17
"2005-02-14",0.1
"2005-02-19",0.24
"2005-02-24",0.17
"2005-03-01",0.17
"2005-03-06",0.24
"2005-03-11",0.1
"2005-03-16",0.1
"2005-03-21",0.17
"2005-03-26",0.17
"2005-03-31",0.17
"2005-04-05",0.17
"2005-04-10",0.17
"2005-04-15",0.17
"2005-04-20",0.17
"2005-04-25",0.17
"2005-04-30",0.24
"2005-05-05",0.24
"2005-05-10",0.24
"2005-05-15",0.24
"2005-05-20",0.24
"2005-05-25",0.24
"2005-05-30",0.24
"2005-06-04",0.24
"2005-06-09",0.24
"2005-06-14",0.24
"2005-06-19",0.24
"2005-06-24",0.24
"2005-06-29",0.24
"2005-07-04",0.24
"2005-07-09",0.24
"2005-07-14",0.24
"2005-07-19",0.24
"2005-07-24",0.24
"2005-07-29",0.24
"2005-08-03",0.24
"2005-08-08",0.24
"2005-08-13",0.24
"2005-08-18",0.24
"2005-08-23",0.24
"2005-08-28",0.24
"2005-09-02",0.24
"2005-09-07",0.24
"2005-09-12",0.24
"2005-09-17",0.24
"2005-09-22",0.24
"2005-09-27",0.24
"2005-10-02",0.24
"2005-10-07",0.24
"2005-10-12",0.24
"2005-10-17",0.17
"2005-10-22",0.24
"2005-10-27",0.17
"2005-11-01",0.17
"2005-11-06",0.17
"2005-11-11",0.17
"2005-11-16",0.17
"2005-11-21",0.17
"2005-11-26",0.17
"2005-12-01",0.17
"2005-12-06",0.17
"2005-12-11",0.24
"2005-12-16",0.24
"2005-12-21",0.32
"2005-12-26",0.32
"2005-12-31",0.39
"2006-01-05",0.32
"2006-01-10",0.32
"2006-01-15",0.24
"2006-01-20",0.32
"2006-01-25",0.1
"2006-01-30",0.1
"2006-02-04",0.1
"2006-02-09",0.1
"2006-02-14",0.17
"2006-02-19",0.1
"2006-02-24",0.03
"2006-03-01",0.24
"2006-03-06",0.1
"2006-03-11",0.24
"2006-03-16",0.24
"2006-03-21",0.24
"2006-03-26",0.24
"2006-03-31",0.24
"2006-04-05",0.39
"2006-04-10",0.39
"2006-04-15",0.39
"2006-04-20",0.39
"2006-04-25",0.39
"2006-04-30",0.39
"2006-05-05",0.39
"2006-05-10",0.39
"2006-05-15",0.39
"2006-05-20",0.39
"2006-05-25",0.39
"2006-05-30",0.39
"2006-06-04",0.39
"2006-06-09",0.39
"2006-06-14",0.39
"2006-06-19",0.39
"2006-06-24",0.39
"2006-06-29",0.39
"2006-07-04",0.39
"2006-07-09",0.39
"2006-07-14",0.39
"2006-07-19",0.39
"2006-07-24",0.39
"2006-07-29",0.39
"2006-08-03",0.39
"2006-08-08",0.39
"2006-08-13",0.39
"2006-08-18",0.39
"2006-08-23",0.39
"2006-08-28",0.39
"2006-09-02",0.39
"2006-09-07",0.39
"2006-09-12",0.39
"2006-09-17",0.39
"2006-09-22",0.39
"2006-09-27",0.39
"2006-10-02",0.39
"2006-10-07",0.39
"2006-10-12",0.39
"2006-10-17",0.39
"2006-10-22",0.39
"2006-10-27",0.39
"2006-11-01",0.39
"2006-11-06",0.39
"2006-11-11",0.39
"2006-11-16",0.39
"2006-11-21",0.39
"2006-11-26",0.39
"2006-12-01",0.39
"2006-12-06",0.39
"2006-12-11",0.39
"2006-12-16",0.39
"2006-12-21",0.39
"2006-12-26",0.39
"2006-12-31",0.32
"2007-01-05",0.24
"2007-01-10",0.17
"2007-01-15",0.17
"2007-01-20",0.24
"2007-01-25",0.24
"2007-01-30",0.24
"2007-02-04",0.32
"2007-02-09",0.32
"2007-02-14",0.39
"2007-02-19",0.32
"2007-02-24",0.39
"2007-03-01",0.47
"2007-03-06",0.47
"2007-03-11",0.32
"2007-03-16",0.39
"2007-03-21",0.39
"2007-03-26",0.39
"2007-03-31",0.39
"2007-04-05",0.32
"2007-04-10",0.32
"2007-04-15",0.32
"2007-04-20",0.32
"2007-04-25",0.32
"2007-04-30",0.32
"2007-05-05",0.32
"2007-05-10",0.32
"2007-05-15",0.32
"2007-05-20",0.32
"2007-05-25",0.32
"2007-05-30",0.32
"2007-06-04",0.32
"2007-06-09",0.32
"2007-06-14",0.32
"2007-06-19",0.32
"2007-06-24",0.32
"2007-06-29",0.32
"2007-07-04",0.32
"2007-07-09",0.32
"2007-07-14",0.32
"2007-07-19",0.32
"2007-07-24",0.32
"2007-07-29",0.32
"2007-08-03",0.32
"2007-08-08",0.32
"2007-08-13",0.32
"2007-08-18",0.32
"2007-08-23",0.32
"2007-08-28",0.32
"2007-09-02",0.32
"2007-09-07",0.32
"2007-09-12",0.32
"2007-09-17",0.32
"2007-09-22",0.32
"2007-09-27",0.32
"2007-10-02",0.32
"2007-10-07",0.32
"2007-10-12",0.32
"2007-10-17",0.32
"2007-10-22",0.32
"2007-10-27",0.32
"2007-11-01",0.32
"2007-11-06",0.32
"2007-11-11",0.32
"2007-11-16",0.32
"2007-11-21",0.32
"2007-11-26",0.32
"2007-12-01",0.32
"2007-12-06",0.32
"2007-12-11",0.32
"2007-12-16",0.17
"2007-12-21",0.1
"2007-12-26",0.1
"2007-12-31",0.03
"2008-01-05",0.1
"2008-01-10",0.03
"2008-01-15",0.03
"2008-01-20",0.03
"2008-01-25",0.17
"2008-01-30",0.32
"2008-02-04",0.39
"2008-02-09",0.39
"2008-02-14",0.32
"2008-02-19",0.39
"2008-02-24",0.47
"2008-02-29",0.39
"2008-03-05",0.39
"2008-03-10",0.39
"2008-03-15",0.32
"2008-03-20",0.32
"2008-03-25",0.39
"2008-03-30",0.32
"2008-04-04",0.24
"2008-04-09",0.24
"2008-04-14",0.24
"2008-04-19",0.24
"2008-04-24",0.24
"2008-04-29",0.17
"2008-05-04",0.17
"2008-05-09",0.17
"2008-05-14",0.17
"2008-05-19",0.17
"2008-05-24",0.17
"2008-05-29",0.17
"2008-06-03",0.17
"2008-06-08",0.17
"2008-06-13",0.17
