," Short Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2006-12-01",-0.1542
"2006-12-06",-0.3255
"2006-12-11",0.26
"2006-12-16",0.0898
"2006-12-21",0.1844
"2006-12-26",0.221
"2006-12-31",0.1711
"2007-01-05",0.2322
"2007-01-10",-0.297
"2007-01-15",-0.2987
"2007-01-20",-0.4691
"2007-01-25",-0.7595
"2007-01-30",-0.6773
"2007-02-04",-0.726
"2007-02-09",-0.8441
"2007-02-14",-0.6717
"2007-02-19",-0.8201
"2007-02-24",-0.4749
"2007-03-01",-0.411
"2007-03-06",-0.464
"2007-03-11",-0.7379
"2007-03-16",-1.1695
"2007-03-21",-1.1176
"2007-03-26",-1.3727
"2007-03-31",-1.5609
"2007-04-05",-1.4228
"2007-04-10",-1.4525
"2007-04-15",-1.1622
"2007-04-20",-1.0357
"2007-04-25",-0.8388
"2007-04-30",-0.9059
"2007-05-05",-0.7144
"2007-05-10",-0.6538
"2007-05-15",-0.7823
"2007-05-20",-0.8776
"2007-05-25",-1.0645
"2007-05-30",-1.0078
"2007-06-04",-1.0496
"2007-06-09",-0.9249
"2007-06-14",-0.8283
"2007-06-19",-0.7046
"2007-06-24",-0.5512
"2007-06-29",-0.4751
"2007-07-04",-0.4153
"2007-07-09",-0.2262
"2007-07-14",-0.225
"2007-07-19",-0.313
"2007-07-24",-0.4629
"2007-07-29",-0.3448
"2007-08-03",-0.4442
"2007-08-08",-0.3824
"2007-08-13",-0.3903
"2007-08-18",-0.3132
"2007-08-23",-0.2422
"2007-08-28",-0.1775
"2007-09-02",-0.0747
"2007-09-07",-0.0546
"2007-09-12",-0.0731
"2007-09-17",-0.1557
"2007-09-22",0.8371
"2007-09-27",0.5686
"2007-10-02",0.4201
"2007-10-07",0.2481
"2007-10-12",0.5964
"2007-10-17",0.6413
"2007-10-22",0.2261
"2007-10-27",0.1102
"2007-11-01",-0.0234
"2007-11-06",-0.0348
"2007-11-11",-0.528
"2007-11-16",-0.6517
"2007-11-21",-0.7328
"2007-11-26",-0.7728
"2007-12-01",-0.8721
"2007-12-06",-0.8597
"2007-12-11",-0.7592
"2007-12-16",-0.9733
"2007-12-21",-1.0958
"2007-12-26",-0.9409
"2007-12-31",-1.017
"2008-01-05",0.0826
"2008-01-10",-0.0058
"2008-01-15",-0.0358
"2008-01-20",-0.073
"2008-01-25",0.5344
"2008-01-30",1.0014
"2008-02-04",0.6073
"2008-02-09",0.5312
"2008-02-14",0.4259
"2008-02-19",0.2517
"2008-02-24",0.1979
"2008-02-29",-0.1743
"2008-03-05",-0.5392
"2008-03-10",-0.5035
"2008-03-15",-0.414
"2008-03-20",-0.296
"2008-03-25",-0.8967
"2008-03-30",-0.6808
"2008-04-04",-0.6312
"2008-04-09",-0.648
"2008-04-14",-0.7973
"2008-04-19",-0.8623
"2008-04-24",-0.8597
"2008-04-29",-0.9914
"2008-05-04",-1.3271
"2008-05-09",-1.2867
"2008-05-14",-1.1896
"2008-05-19",-1.0949
"2008-05-24",-1.2203
"2008-05-29",-1.0159
"2008-06-03",-0.9281
"2008-06-08",-0.863
"2008-06-13",-0.8867
"2008-06-18",-0.7471
"2008-06-23",-0.5762
"2008-06-28",-0.6553
"2008-07-03",-0.6486
"2008-07-08",-0.5212
"2008-07-13",-0.525
"2008-07-18",-0.4462
"2008-07-23",-0.401
"2008-07-28",-0.305
"2008-08-02",-0.2359
"2008-08-07",-0.176
"2008-08-12",-0.1699
"2008-08-17",-0.0777
"2008-08-22",-0.0327
"2008-08-27",-0.099
"2008-09-01",-0.1228
"2008-09-06",-0.1118
"2008-09-11",-0.1283
"2008-09-16",-0.2086
"2008-09-21",-0.3337
"2008-09-26",-0.4148
"2008-10-01",-0.4653
"2008-10-06",-0.1596
"2008-10-11",-0.2574
"2008-10-16",-0.3564
"2008-10-21",-0.4184
"2008-10-26",-0.6101
"2008-10-31",-0.6417
"2008-11-05",-0.4165
"2008-11-10",-0.5939
"2008-11-15",-0.725
"2008-11-20",-0.8594
"2008-11-25",-0.8877
"2008-11-30",-0.4904
"2008-12-05",-0.8427
"2008-12-10",-1.1095
"2008-12-15",-0.6586
"2008-12-20",-0.6458
"2008-12-25",-0.3493
"2008-12-30",-0.5763
"2009-01-05",-0.6158
"2009-01-10",-0.6139
"2009-01-15",-0.9461
"2009-01-20",-1.1697
"2009-01-25",-0.9388
"2009-01-30",-0.9253
"2009-02-04",-0.9724
"2009-02-09",-0.5139
"2009-02-14",-0.3406
"2009-02-19",0.1048
"2009-02-24",-0.1188
"2009-03-01",-0.139
"2009-03-06",0.2477
"2009-03-11",-0.0084
"2009-03-16",-0.0745
"2009-03-21",-0.4764
"2009-03-26",-0.5816
"2009-03-31",-0.4963
"2009-04-05",-0.7327
"2009-04-10",-0.6153
"2009-04-15",-0.587
"2009-04-20",-0.5613
"2009-04-25",-0.8179
"2009-04-30",-0.7254
"2009-05-05",-0.3935
"2009-05-10",-0.7683
"2009-05-15",-0.7472
"2009-05-20",-0.7184
"2009-05-25",-0.6876
"2009-05-30",-0.6265
"2009-06-04",-0.9513
"2009-06-09",-0.8692
"2009-06-14",-0.7346
"2009-06-19",-0.5837
"2009-06-24",-0.445
"2009-06-29",-0.3665
"2009-07-04",-0.2828
"2009-07-09",-0.3924
"2009-07-14",-0.3124
"2009-07-19",-0.2482
"2009-07-24",-0.2009
"2009-07-29",-0.0691
"2009-08-03",-0.2498
"2009-08-08",-0.2199
"2009-08-13",-0.2151
"2009-08-18",-0.1109
"2009-08-23",-0.0386
"2009-08-28",0.0075
"2009-09-02",0.0054
"2009-09-07",-0.0874
"2009-09-12",-0.1034
"2009-09-17",0.2384
"2009-09-22",0.1395
"2009-09-27",0.019
"2009-10-02",-0.0538
"2009-10-07",-0.1719
"2009-10-12",-0.2619
"2009-10-17",1.6412
"2009-10-22",1.3636
"2009-10-27",1.2337
"2009-11-01",0.9882
"2009-11-06",0.9834
"2009-11-11",0.8271
"2009-11-16",-0.5876
"2009-11-21",-0.7168
"2009-11-26",-0.8549
"2009-12-01",-0.7382
"2009-12-06",-0.9325
"2009-12-11",-0.3837
"2009-12-16",-0.063
"2009-12-21",-0.1221
"2009-12-26",-0.1367
"2009-12-31",-0.1327
"2010-01-05",-0.2445
"2010-01-10",-0.5395
"2010-01-15",-0.8303
"2010-01-20",0.0791
"2010-01-25",0.2238
"2010-01-30",0.3704
"2010-02-04",0.5347
"2010-02-09",0.7963
"2010-02-14",0.6821
"2010-02-19",-0.1131
"2010-02-24",0.0045
"2010-03-01",0.1094
"2010-03-06",0.1505
"2010-03-11",0.0075
"2010-03-16",0.0599
"2010-03-21",0.2027
"2010-03-26",-0.1324
"2010-03-31",-0.2457
"2010-04-05",0.0964
"2010-04-10",0.1072
"2010-04-15",0.4361
"2010-04-20",0.5437
"2010-04-25",0.797
"2010-04-30",0.8386
"2010-05-05",0.6997
"2010-05-10",0.6971
"2010-05-15",0.5566
"2010-05-20",0.4018
"2010-05-25",0.4161
"2010-05-30",0.3789
"2010-06-04",0.3637
"2010-06-09",0.2088
"2010-06-14",0.1984
"2010-06-19",0.2486
"2010-06-24",0.3653
"2010-06-29",0.342
"2010-07-04",0.2663
"2010-07-09",0.4092
"2010-07-14",0.2923
"2010-07-19",0.1907
"2010-07-24",0.1215
"2010-07-29",0.2024
"2010-08-03",0.2677
"2010-08-08",0.1609
"2010-08-13",0.1638
"2010-08-18",0.2036
"2010-08-23",0.1953
"2010-08-28",0.2
"2010-09-02",0.1717
"2010-09-07",0.1773
"2010-09-12",0.161
"2010-09-17",0.0699
"2010-09-22",-0.0596
"2010-09-27",-0.1481
"2010-10-02",-0.2126
"2010-10-07",0.3392
"2010-10-12",0.2256
"2010-10-17",0.2171
"2010-10-22",0.1361
"2010-10-27",0.4472
"2010-11-01",0.3236
"2010-11-06",0.1053
"2010-11-11",0.1441
"2010-11-16",0.0113
"2010-11-21",0.4547
"2010-11-26",0.2473
"2010-12-01",0.1832
"2010-12-06",0.2638
"2010-12-11",0.0358
"2010-12-16",0.0028
"2010-12-21",0.5776
"2010-12-26",0.5615
"2010-12-31",0.8017
"2011-01-05",1.1656
"2011-01-10",1.1126
"2011-01-15",0.8975
"2011-01-20",0.3285
"2011-01-25",0.2238
"2011-01-30",0.0816
"2011-02-04",-0.4015
"2011-02-09",-0.5388
"2011-02-14",-0.6378
"2011-02-19",0.1115
"2011-02-24",0.1487
"2011-03-01",0.1314
"2011-03-06",0.0246
"2011-03-11",0.131
"2011-03-16",0.2864
"2011-03-21",0.1953
"2011-03-26",0.6448
"2011-03-31",0.5628
"2011-04-05",0.6047
"2011-04-10",0.7506
"2011-04-15",0.7651
"2011-04-20",0.2814
"2011-04-25",0.0309
"2011-04-30",-0.0501
"2011-05-05",0.1449
"2011-05-10",0.1662
"2011-05-15",0.4556
"2011-05-20",0.2443
"2011-05-25",0.4427
"2011-05-30",0.5275
"2011-06-04",0.848
"2011-06-09",0.9264
"2011-06-14",0.896
"2011-06-19",0.5872
"2011-06-24",0.6143
"2011-06-29",0.7225
"2011-07-04",0.4806
"2011-07-09",0.558
"2011-07-14",0.5653
"2011-07-19",0.5444
"2011-07-24",0.5782
"2011-07-29",0.5852
"2011-08-03",0.6176
"2011-08-08",0.6076
"2011-08-13",0.6078
"2011-08-18",0.5961
"2011-08-23",0.6459
"2011-08-28",0.717
"2011-09-02",0.4256
"2011-09-07",0.3739
"2011-09-12",0.3404
"2011-09-17",0.2462
"2011-09-22",0.1287
"2011-09-27",-0.0882
"2011-10-02",-0.1464
"2011-10-07",1.0615
"2011-10-12",1.0422
"2011-10-17",0.816
"2011-10-22",0.731
"2011-10-27",0.6096
