Parameter,Covariate,Estimate,SE,P
psi,(Intercept),0.45,0.2,0.02
psi,BreedingYear,-0.06,0.02,0
psi,AreaType0,-0.44,0.18,0.01
psi,AnnualVisitors,-0.01,0.11,0.96
psi,PEFAState1,-0.27,0.36,0.45
psi,PEFAState2,-0.87,0.46,0.06
psi,DecToFebPrecipitation,0.14,0.14,0.32
psi,LongDrought,-0.06,0.16,0.71
psi,ShortDrought,-0.14,0.17,0.42
psi,AreaType0:AnnualVisitors,0.02,0.17,0.92
r,(Intercept),-0.99,0.44,0.03
r,BreedingYear,0.06,0.05,0.3
r,AreaType0,0.5,0.3,0.09
r,AnnualVisitors,0.05,0.19,0.79
r,PEFAState1,-0.03,0.61,0.96
r,PEFAState2,-0.66,0.94,0.49
r,DecToFebPrecipitation,-0.54,0.23,0.02
r,LongDrought,-0.02,0.4,0.96
r,ShortDrought,-0.02,0.36,0.96
r,HeavyRain,-0.04,0.21,0.85
r,HDD,0.51,0.31,0.11
r,ColdDays,-0.21,0.25,0.41
r,HotDays,-0.21,0.23,0.38
r,AreaType0:AnnualVisitors,0.44,0.31,0.16
p[1],(Intercept),-0.04,0.08,0.62
p[1],AreaType0,0.56,0.17,0
p[2],(Intercept),1.51,0.14,0
p[2],LateEffect1,15.6,243.79,0.95
p[2],AreaType0,-0.04,0.26,0.89
delta,(Intercept),-1.75,0.15,0
delta,LateEffect1,3.88,0.2,0
delta,AreaType0,0.23,0.21,0.27
