EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,
5430396,MONTEREY CO.,LUCIA,12/30/2004,1000,Flash Flood, , ,0,0,0,0,CA,PST, ,1182774,C,53,MTR,0,0,BROADCAST MEDIA, , , ,1,S,1,S,LUCIA,12/30/2004,1200, , , , ,,Flash Flooding occurred along the coast of Monterey County - causing a landslide that closed a portion of Highway 1.,1,,
5436749,MONTEREY CO.,PARKFIELD,02/23/2005,1358,Hail,0.88, ,0,0,0,0,CA,PST, ,1185024,C,53,MTR,0,0,GENERAL PUBLIC, , , ,5,NW,5,NW,PARKFIELD,02/23/2005,1400,35.95,-120.5,35.95,-120.5,,"A strong thunderstorm passed over Southern Monterey County, with nickel size hail reported near Parkfield.",2,,
5490677,SANTA LUCIA MOUNTAINS AND LOS PADRES NATIONAL FOREST (ZONE), ,02/27/2006,2000,High Wind,71, ,0,0,0,0,CA,PST,MG,1204990,Z,517,MTR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , ,02/27/2006,2005, , , , ,,3
5526336,SOUTHERN SALINAS VALLEY / ARROYO SECO / LAKE SAN ANTONIO (ZONE), ,07/21/2006,1400,Heat, , ,0,0,0,0,CA,PST, ,1218208,Z,516,MTR,0,0,EMERGENCY MANAGER, , , , , , , , ,07/26/2006,1800, , , , ,,"Very hot temperatures settled over the Southern Salinas Valley for several days in late July. High temperatures soared to over 110 degrees in many locations, and overnight lows stayed in the middle 60s for several nights.",4,,
5525792,SOUTHERN SALINAS VALLEY / ARROYO SECO / LAKE SAN ANTONIO (ZONE), ,07/22/2006,1300,Wildfire, , ,0,0,0,0,CA,PST, ,1218199,Z,516,MTR,0,0,BROADCAST MEDIA, , , , , , , , ,07/31/2006,2200, , , , ,,"Lightning induced a wildfire near San Ardo in Southern Monterey County on July 22nd. The fire burned until controlled on August 1st after a total of 14,507 acres was consumed. No known injuries or deaths were reported - and only 1 outbuilding was destroyed.",5,,
5525795,MOUNTAINS OF SAN BENITO COUNTY AND INTERIOR MONTEREY COUNTY (ZONE), ,07/22/2006,1400,Heat, , ,0,0,0,0,CA,PST, ,1218202,Z,518,MTR,0,0,BROADCAST MEDIA, , , , , , , , ,07/27/2006,1400, , , , ,,"Intense heat settled over the mountain areas of San Benito County - with high temperatures soaring to as high as 115 degrees one day. Temperatures were over 100 for at least 15 consecutive days in mid/late July, and low temperatures were unusually elevated - holding mainly in the mid 60s.",6,,
8641,SOUTHERN SALINAS VALLEY / ARROYO SECO / LAKE SAN ANTONIO (ZONE), ,01/06/2007,0,Frost/Freeze, , ,0,0,0,4000000,CA,PST-8, ,1779,Z,516,MTR,0,0,Broadcast Media, , , , , , , , ,01/19/2007,0, , , , ,Freezing temperatures over the period caused approximately $4 million in damages - mainly to citrus crops. Temperatures fell into the teens several nights during this time.,Record cold wave settled upon the San Francisco and Monterey Bay Areas from January 6th through January 19th. Numerous record lows were experienced and agricultural damage totalled over $1 Billion State-Wide. Counties in the San Francisco and Monterey Bay areas reported damage in excess of $20 million.,7,,
8645,MOUNTAINS OF SAN BENITO COUNTY AND INTERIOR MONTEREY COUNTY INCLUDING PINNACLES NATIONAL MONUMENT (ZONE), ,01/06/2007,0,Frost/Freeze, , ,0,0,0,3000000,CA,PST-8, ,1779,Z,518,MTR,0,0,Broadcast Media, , , , , , , , ,01/19/2007,0, , , , ,"Record cold wave brought temperatures as low as the teens during several nights in this period across San Benito County. Crop damage was estimated at $3,000,000.",Record cold wave settled upon the San Francisco and Monterey Bay Areas from January 6th through January 19th. Numerous record lows were experienced and agricultural damage totalled over $1 Billion State-Wide. Counties in the San Francisco and Monterey Bay areas reported damage in excess of $20 million.,8,,
67363,SANTA LUCIA MOUNTAINS AND LOS PADRES NATIONAL FOREST (ZONE), ,01/04/2008,800,High Wind,36.00, ,0,0,0,0,CA,PST-8,MS,12110,Z,517,MTR,0,0,Mesonet, , , , , , , , ,01/04/2008,1200, , , , ,Sustained winds reached 41 mph at Highlands Peak.,"A very strong cyclone slammed into the San Francisco and Monterey Bay Areas bringing flooding rains, high winds, record high surf and coastal flooding. Hundreds of thousands of residences and businesses were without power, some for several days due to high winds toppling power lines. Property damage in the millions was reported due to falling trees hitting cars and structures as well as damage to roads due to heavy rain. Preliminary totals indicate over $1.5 million in damage in the City of Oakland, nearly $1 million in Monterey County and about $150,000 in Santa Cruz County.",9,,
74194,SANTA LUCIA MOUNTAINS AND LOS PADRES NATIONAL FOREST (ZONE), ,02/23/2008,1000,High Wind,36.00, ,0,0,0,0,CA,PST-8,MS,13339,Z,517,MTR,0,0,Mesonet, , , , , , , , ,02/23/2008,1800, , , , ,Sustained winds of 41 mph were reported at the Highlands RAWS site.,An intense low pressure area approached the Northern California Coast on February 23rd bringing sporadic high winds and bouts of heavy rain to the San Francisco and Monterey Bay areas. A few thousand people lost power due to the high winds and several car accidents occurred.,10,,
